station_no,station_name,lat,lon
8295,"Kenmore",56.59638815,-3.985061725
234251,"Kerrow Wood",57.34937628,-4.736427892
494257,"Kilbirnie",55.75642821,-4.685378197
133099,"Killermont",55.90623638,-4.307622592
341380,"Killermont Raingauge",55.91108458,-4.305014408
14958,"Killiecrankie",56.75025399,-3.79910265
234252,"Killilan",57.31881832,-5.424835603
14933,"Killin",56.45816211,-4.331876561
234253,"Kilphedir",58.14138911,-3.702814019
15211,"Kilspindie",56.01342344,-2.874113551
133101,"Kilwinning",55.64563956,-4.692060096
14890,"Kinbuck",56.2255551,-3.949530685
234254,"Kincraig",57.12680642,-3.92521234
14955,"Kindrogan",56.74926972,-3.544931301
494728,"Kingairloch Tide Gauge",56.61619985,-5.503025816
473550,"Kinghorn Ecology Centre Rain Gauge",56.07462319,-3.193432968
14972,"Kingledores",55.54240926,-3.413947163
15062,"Kingsbarns",56.31015343,-2.664998475
503411,"Kingston Tide Gauge",57.67317185,-3.108441404
14968,"Kinkell Bridge",56.33018709,-3.726992915
471362,"Kinlochewe Lodge",57.60438272,-5.291673059
115596,"Kinmount House",55.01095443,-3.351411196
234257,"Kinrara",57.15134199,-3.85017621
14903,"Kinross",56.19853589,-3.422943515
335617,"Kirkcaldy",56.11765342,-3.147961765
115598,"Kirkcowan",54.91691338,-4.612059475
506171,"Kirkcudbright Bay Tide Gauge",54.79470544,-4.06235608
504458,"Kirkcudbright Raingauge",54.84543419,-4.038511682
124855,"Kirkfieldbank",55.67631471,-3.803247871
133102,"Kirkmuirhill",55.66506695,-3.893674093
116005,"Kirkton Burn",56.36683432,-4.377397065
14923,"Kirkton Mill",56.63544717,-2.564584008
348944,"Kirkton Mill Drift Obs BH",56.63549217,-2.564568378
463690,"Kirktown of Fetteresso",56.96107386,-2.24381097
515885,"Kirkwall",58.98622363,-2.949352863
536545,"Kirkwall Tide Gauge",58.98544269,-2.960257953
361048,"Kirriemuir STW",56.65983513,-2.999773468
115599,"Kirriereoch",55.15077902,-4.571934377
115363,"Knockanrock",58.03118174,-5.07294078
379369,"Knowehead shallow obs BH Freuchie",56.2499251,-3.165039093
14458,"Knowhead",56.24966295,-3.166160852
368486,"Ladyflat Farm",55.75636712,-2.369501202
115600,"Lagafater Lodge",55.04328363,-4.913741812
396186,"Lagganbeg",56.05128388,-4.52729393
115602,"Lanark B",55.67954261,-3.784692222
115603,"Lanark STW",55.67436394,-3.795938206
133103,"Langholm A",55.46679973,-4.362070221
506155,"Langholm Bridge",55.1521906,-3.000489189
354621,"Langwell Lodge",57.9748238,-5.100589967
14902,"Lathro",56.2213192,-3.42872292
14996,"Lauder (New Mills)",55.73932168,-2.755976423
356217,"Laxdale",57.86865846,-6.893581696
234260,"Laxford Bridge",58.37221983,-4.991457712
412495,"Lecht Weather Station",57.19821668,-3.25888009
133104,"Lennox Castle",55.98029455,-4.220982816
14874,"Lennoxlove",55.93584934,-2.784195821
133105,"Letham",55.76643914,-4.284272139
338381,"Letham Grange",56.60403394,-2.609495534
234262,"Levishie",57.22003826,-4.647834071
335979,"Lewis-Carishader",58.19291025,-6.941762701
14876,"Liberton",55.92458009,-3.165787507
542772,"Limmerhaugh",55.51674252,-4.189197017
14990,"Lindean",55.57486097,-2.816174621
133106,"Lingerton",56.01244753,-5.422443562
368493,"Links Farm",56.53282434,-3.339459645
133107,"Linnbrane",55.98877125,-4.57598193
234264,"Little Assynt",58.17438109,-5.152302768
234265,"Littlemill",57.04544067,-3.118285636
474477,"Loakmill No 2",56.49180756,-3.508004624
356328,"Loch A Bhraoin",57.72829261,-5.098319842
354613,"Loch Ailsh Level",58.04827715,-4.855312073
554837,"Loch Ard",56.18379617,-4.422949664
473090,"Loch Beannacharain",57.5217999,-4.95927599
133163,"Loch Dee Outlet",55.08809918,-4.386053697
115368,"Loch Droma",57.73309629,-4.936434641
234267,"Loch Flemington",57.54236344,-3.993033026
14910,"Loch Katrine",56.22701614,-4.43624573
477620,"Loch Leven Sluices",56.17937821,-3.335224928
473675,"Loch Maree",57.6695583,-5.447154185
234268,"Loch Naver",58.28571328,-4.389718176
